"Bill Type",Carrier,"AWB Number","Shipment Status","Seller Company Name","Shipment ID","Order ID","Payment Type",Pincode,City,Zone,"Origin City","Origin State","Destination City","Destination State","Pickup Pincode","Charged Weight","Freight Charges","COD Charges",IGST,SGST,CGST,"Grand Total","Order Type"
Forward,"Air Xpressbees 0.5 K.G",14345150379414,Rto,"CLOUD WELLNESS PRIVATE LIMITED",19335010,#DERMA1501428,COD,421605,TITWALA,z3,Ahmedabad,GUJARAT,TITWALA,MAHARASHTRA,380023,0.5,0,0,0,0,0,0,ecom
Forward,"Air Xpressbees 0.5 K.G",14345150517787,Rto,"CLOUD WELLNESS PRIVATE LIMITED",20078198,#DERMA1652614,COD,400043,MUMBAI,z3,Ahmedabad,GUJARAT,MUMBAI,MAHARASHTRA,380023,0.5,14.41,-13.56,0,0.08,0.08,1.01,ecom
Forward,"Air Xpressbees 0.5 K.G",14345150518170,Rto,"CLOUD WELLNESS PRIVATE LIMITED",20079556,#DERMA1653439,COD,411030,PUNE,z3,Ahmedabad,GUJARAT,PUNE,MAHARASHTRA,380023,0.5,14.41,-13.56,0,0.08,0.08,1.01,ecom
Forward,"Air Xpressbees 0.5 K.G",14345150534620,Rto,"CLOUD WELLNESS PRIVATE LIMITED",20194586,#DERMA1666320,COD,193302,Kupwara,z5,Ahmedabad,GUJARAT,Kupwara,"JAMMU AND KASHMIR",380023,0.5,26.27,-13.56,0,1.14,1.14,14.99,ecom
Forward,"Air Xpressbees 0.5 K.G",14345150535685,Rto,"CLOUD WELLNESS PRIVATE LIMITED",20196379,#DERMA1668034,COD,132116,Karnal,z6,Ahmedabad,GUJARAT,Karnal,HARYANA,380023,0.5,22.03,-13.56,0,0.76,0.76,9.99,ecom
Forward,"Air Xpressbees 0.5 K.G",14345150537714,Rto,"CLOUD WELLNESS PRIVATE LIMITED",20210673,#DERMA1671506,PREPAID,123401,Rewari,z6,Ahmedabad,GUJARAT,Rewari,HARYANA,380023,0.5,22.03,0,0,1.98,1.98,25.99,ecom
Forward,"Air Xpressbees 0.5 K.G",14345150543057,Rto,"CLOUD WELLNESS PRIVATE LIMITED",20231152,#DERMA1678346,COD,700150,KOLKATA,z6,Ahmedabad,GUJARAT,KOLKATA,"WEST BENGAL",380023,0.5,22.03,-13.56,0,0.76,0.76,9.99,ecom
Forward,"Air Xpressbees 0.5 K.G",14345150543202,Rto,"CLOUD WELLNESS PRIVATE LIMITED",20231339,#DERMA1670769,COD,769015,ROURKELA,z6,Ahmedabad,GUJARAT,ROURKELA,Odisha,380023,0.5,22.03,-13.56,0,0.76,0.76,9.99,ecom
Forward,"Air Xpressbees 0.5 K.G",14345150543731,Rto,"CLOUD WELLNESS PRIVATE LIMITED",20232014,#DERMA1679634,COD,221010,VARANASI,z6,Ahmedabad,GUJARAT,VARANASI,"UTTAR PRADESH",380023,0.5,22.03,-13.56,0,0.76,0.76,9.99,ecom
Forward,"Air Xpressbees 0.5 K.G",14345150548692,Rto,"CLOUD WELLNESS PRIVATE LIMITED",20254823,#DERMA1681680,COD,700152,Kolkata,z6,Ahmedabad,GUJARAT,Kolkata,"WEST BENGAL",380023,0.5,22.03,-13.56,0,0.76,0.76,9.99,ecom
Forward,"Air Xpressbees 0.5 K.G",14345150559748,Rto,"CLOUD WELLNESS PRIVATE LIMITED",20358356,#DERMA1702720,COD,586209,Bagalkot,z6,Ahmedabad,GUJARAT,Bagalkot,KARNATAKA,380023,0.5,22.03,-13.56,0,0.76,0.76,9.99,ecom
Forward,"Air Xpressbees 0.5 K.G",14345150563272,Rto,"CLOUD WELLNESS PRIVATE LIMITED",20376100,#DERMA1704493,COD,132001,Karnal,z6,Ahmedabad,GUJARAT,Karnal,HARYANA,380023,0.5,22.03,-13.56,0,0.76,0.76,9.99,ecom
Forward,"Air Xpressbees 0.5 K.G",14345150563313,Rto,"CLOUD WELLNESS PRIVATE LIMITED",20376164,#DERMA1704690,COD,500045,HYDERABAD,z6,Ahmedabad,GUJARAT,HYDERABAD,TELANGANA,380023,0.5,22.03,-13.56,0,0.76,0.76,9.99,ecom
Forward,"Air Xpressbees 0.5 K.G",14345150564158,Rto,"CLOUD WELLNESS PRIVATE LIMITED",20386259,#DERMA1707708,COD,144626,"SULTANPUR LODHI",z6,Ahmedabad,GUJARAT,"SULTANPUR LODHI",PUNJAB,380023,0.5,22.03,-13.56,0,0.76,0.76,9.99,ecom
Forward,"Air Xpressbees 0.5 K.G",14345150580179,Rto,"CLOUD WELLNESS PRIVATE LIMITED",20565280,#DERMA1731110,PREPAID,140301,KHARAR,z6,Ahmedabad,GUJARAT,KHARAR,PUNJAB,380023,0.5,22.03,0,0,1.98,1.98,25.99,ecom
Forward,"Air Xpressbees 0.5 K.G",14345150583129,Rto,"CLOUD WELLNESS PRIVATE LIMITED",20584449,#DERMA1732554,COD,177105,UNA,z6,Ahmedabad,GUJARAT,UNA,"HIMACHAL PRADESH",380023,0.5,22.03,-13.56,0,0.76,0.76,9.99,ecom
Forward,"Air Xpressbees 0.5 K.G",14345150589486,Rto,"CLOUD WELLNESS PRIVATE LIMITED",20625100,#DERMA1736030,PREPAID,721305,KHARAGPUR,z6,Ahmedabad,GUJARAT,KHARAGPUR,"WEST BENGAL",380023,0.5,22.03,0,0,1.98,1.98,25.99,ecom
Forward,"Air Xpressbees 0.5 K.G",14345150591096,Rto,"CLOUD WELLNESS PRIVATE LIMITED",20637131,#DERMA1737749,COD,742123,MURSHIDABAD,z6,Ahmedabad,GUJARAT,MURSHIDABAD,"WEST BENGAL",380023,0.5,22.03,-13.56,0,0.76,0.76,9.99,ecom
Forward,"Air Xpressbees 0.5 K.G",14345150594356,Rto,"CLOUD WELLNESS PRIVATE LIMITED",20656161,#DERMA1739761,PREPAID,140603,CHANDIGARH,z6,Ahmedabad,GUJARAT,CHANDIGARH,CHANDIGARH,380023,0.5,22.03,0,0,1.98,1.98,25.99,ecom
Forward,"Air Xpressbees 0.5 K.G",14345150598259,Rto,"CLOUD WELLNESS PRIVATE LIMITED",20694751,#DERMA1741962,COD,144005,Jalandhar,z6,Ahmedabad,GUJARAT,Jalandhar,PUNJAB,380023,0.5,22.03,-13.56,0,0.76,0.76,9.99,ecom
Forward,"Air Xpressbees 0.5 K.G",14345150607947,Rto,"CLOUD WELLNESS PRIVATE LIMITED",20773104,#DERMA1743327,COD,331001,Churu,z6,Ahmedabad,GUJARAT,Churu,RAJASTHAN,380023,0.5,22.03,-13.56,0,0.76,0.76,9.99,ecom
Forward,"Air Xpressbees 0.5 K.G",14345150609467,Rto,"CLOUD WELLNESS PRIVATE LIMITED",20781395,#DERMA1748784,COD,201009,"DELHI NCR",z6,Ahmedabad,GUJARAT,"DELHI NCR",DELHI,380023,0.5,22.03,-13.56,0,0.76,0.76,9.99,ecom
Forward,"Air Xpressbees 0.5 K.G",14345150609664,Rto,"CLOUD WELLNESS PRIVATE LIMITED",20782421,#DERMA1745202,COD,464001,VIDISHA,z6,Ahmedabad,GUJARAT,VIDISHA,"MADHYA PRADESH",380023,0.5,22.03,-13.56,0,0.76,0.76,9.99,ecom
Forward,"Air Xpressbees 0.5 K.G",14345150611528,Rto,"CLOUD WELLNESS PRIVATE LIMITED",20792301,#DERMA1747175,COD,411035,PUNE,z3,Ahmedabad,GUJARAT,PUNE,MAHARASHTRA,380023,0.5,14.41,-13.56,0,0.08,0.08,1.01,ecom
Forward,"Air Xpressbees 0.5 K.G",14345150619537,Rto,"CLOUD WELLNESS PRIVATE LIMITED",20837397,#DERMA1753443,COD,140301,KHARAR,z6,Ahmedabad,GUJARAT,KHARAR,PUNJAB,380023,0.5,22.03,-13.56,0,0.76,0.76,9.99,ecom
Forward,"Air Xpressbees 0.5 K.G",14345150621283,Rto,"CLOUD WELLNESS PRIVATE LIMITED",20847394,#DERMA1755830,COD,800027,PATNA,z6,Ahmedabad,GUJARAT,PATNA,BIHAR,380023,0.5,22.03,-13.56,0,0.76,0.76,9.99,ecom
Forward,"Air Xpressbees 0.5 K.G",14345150623469,Rto,"CLOUD WELLNESS PRIVATE LIMITED",20863383,#DERMA1757760,COD,452010,INDORE,z6,Ahmedabad,GUJARAT,INDORE,"MADHYA PRADESH",380023,0.5,22.03,-13.56,0,0.76,0.76,9.99,ecom
